ID,Name,Address,AdmArea,District,geoData,Category,SubCategory
Спорт.Спортивные объекты Москвы.1074997692,Физкультурно-оздоровительный комплекс «Скиф» (101803),"город Москва, Сахалинская улица, дом 5",Восточный административный округ,район Гольяново,"{'coordinates': [37.8156618315321, 55.824932112041], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997693,Физкультурно-оздоровительный комплекс «Акулово» (106111),"город Москва, посёлок Акулово, дом 27",Восточный административный округ,район Восточный,"{'coordinates': [37.7983481370151, 56.0058341302896], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997695,Бассейн «Марьино» (106408),"город Москва, улица Маршала Голованова, дом 12, корпус 1",Юго-Восточный административный округ,район Марьино,"{'coordinates': [37.7260794074305, 55.6490645590201], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997696,Спортивный комплекс ГБУ «Московская баскетбольная академия» Москомспорта структурное подразделение СШОР «Глория» имени Ю.И. Бирюкова (106156),"город Москва, Зоологическая улица, дом 26А",Центральный административный округ,Пресненский район,"{'coordinates': [37.584143679519, 55.7658092319396], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997698,Поле для гольфа «Гольф Центр Москва» (105937),"город Москва, Юровская улица, дом 1",Северо-Западный административный округ,район Куркино,"{'coordinates': [37.3689781733918, 55.8978009355997], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997702,Спортивный зал «ГБУ «СШОР № 101 «Тушино» Москомспорта» (121401),"город Москва, Центральная улица, дом 17",Северо-Западный административный округ,район Митино,"{'coordinates': [37.383956640019, 55.852899531692], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997703,Физкультурно-оздоровительный комплекс «Семья»( 105273 ),"город Москва, улица Покрышкина, дом 3",Западный административный округ,район Тропарёво-Никулино,"{'coordinates': [37.4709896171149, 55.6640058290927], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997704,Физкультурно-спортивный комплекс «На Михневской» (108376),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Михневская улица, дом 5, корпус 1",Южный административный округ,район Бирюлёво Восточное,"{'coordinates': [37.6611779064289, 55.5851770945638], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997705,Комплекс спортивных сооружений «ГБОУ ЦСиО Самбо-70 отделение Севастопольский» (108202),"город Москва, Новочерёмушкинская улица, дом 64, корпус 3",Юго-Западный административный округ,район Черёмушки,"{'coordinates': [37.5573990015054, 55.664289304663], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997706,Спортивный комплекс «Севастопольский проспект» (108209),"город Москва, Севастопольский проспект, дом 66",Юго-Западный административный округ,район Ясенево,"{'coordinates': [37.5395935653717, 55.6257360357639], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997707,Комплекс спортивных сооружений «ГБУ «СШОР по теннису «Олимпиец» Москомспорта» (108039),"город Москва, Чоботовская улица, дом 4, корпус 1",Западный административный округ,район Ново-Переделкино,"{'coordinates': [37.3530109254171, 55.6464691766684], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997708,Спортивная школа «Марьино» (106388),"город Москва, Мячковский бульвар, дом 10, корпус 3",Юго-Восточный административный округ,район Марьино,"{'coordinates': [37.7541325252427, 55.6537978696629], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
