AdmArea,geoData,Name,District,Address,ID,Category,SubCategory
Юго-Западный административный округ,"{'coordinates': [37.5552125540843, 55.6920593192329], 'type': 'Point'}",Губкинский университет,Гагаринский район,"город Москва, Ленинский проспект, дом 65, корпус 1",Образование.Вузы.639894081,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.648625819202, 55.7605117843969], 'type': 'Point'}",СФИ,Басманный район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Покровка, дом 29",Образование.Вузы.639894087,Образование,Вузы
Юго-Восточный административный округ,"{'coordinates': [37.7067270623844, 55.7543289009685], 'type': 'Point'}",МЭИ,район Лефортово,"город Москва, Красноказарменная улица, дом 14, строение 1А",Образование.Вузы.639894090,Образование,Вузы
Северный административный округ,"{'coordinates': [37.5289519621927, 55.8023559069539], 'type': 'Point'}",МАДИ,район Аэропорт,"город Москва, Ленинградский проспект, дом 64",Образование.Вузы.639894091,Образование,Вузы
Северный административный округ,"{'coordinates': [37.5707191218476, 55.7819750748996], 'type': 'Point'}",ММУ,район Беговой,"город Москва, Ленинградский проспект, дом 17",Образование.Вузы.639894100,Образование,Вузы
Северо-Восточный административный округ,"{'coordinates': [37.6550918968588, 55.8591057268641], 'type': 'Point'}",АСОУ,Бабушкинский район,"город Москва, Енисейская улица, дом 3, корпус 5",Образование.Вузы.639894106,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6334310615455, 55.761446587525], 'type': 'Point'}",Вышка,Басманный район,"город Москва, Мясницкая улица, дом 20",Образование.Вузы.639894107,Образование,Вузы
Западный административный округ,"{'coordinates': [37.4847987115464, 55.6738562403589], 'type': 'Point'}",МГИМО,район Проспект Вернадского,"город Москва, проспект Вернадского, дом 76, корпус 1",Образование.Вузы.639894109,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.5904300827496, 55.7517095445649], 'type': 'Point'}",Щука,район Арбат,"город Москва, Большой Николопесковский переулок, дом 12А, строение 1",Образование.Вузы.639894110,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6637431942861, 55.7629137357895], 'type': 'Point'}",ГУЗ,Басманный район,"город Москва, улица Казакова, дом 15",Образование.Вузы.639894117,Образование,Вузы
Северный административный округ,"{'coordinates': [37.5088961738353, 55.8515096143979], 'type': 'Point'}",Институт туризма Сенкевича,Головинский район,"город Москва, Кронштадтский бульвар, дом 43А",Образование.Вузы.639894120,Образование,Вузы
Западный административный округ,"{'coordinates': [37.4812828795421, 55.6707638135037], 'type': 'Point'}",МИРЭА,район Тропарёво-Никулино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, проспект Вернадского, дом 78, строение 1",Образование.Вузы.639894121,Образование,Вузы
Восточный административный округ,"{'coordinates': [37.8001493177352, 55.7995567515426], 'type': 'Point'}",ИГУМО и ИТ,район Измайлово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Верхняя Первомайская улица, дом 53",Образование.Вузы.639894126,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.5691775326794, 55.73143490247], 'type': 'Point'}",Первый мед,район Хамовники,"город Москва, Большая Пироговская улица, дом 2, строение 4",Образование.Вузы.639894127,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.5953686416733, 55.7355986928373], 'type': 'Point'}",Дипакадемия,район Хамовники,"город Москва, улица Остоженка, дом 53/2, строение 1",Образование.Вузы.639894128,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.69356055784, 55.7786292732982], 'type': 'Point'}",МСПИ,Басманный район,"город Москва, улица Фридриха Энгельса, дом 75, строение 3",Образование.Вузы.639894129,Образование,Вузы
Северный административный округ,"{'coordinates': [37.5024117637056, 55.8116365630917], 'type': 'Point'}",МАИ,район Сокол,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокол, Волоколамское шоссе, дом 4",Образование.Вузы.639894130,Образование,Вузы
Юго-Западный административный округ,"{'coordinates': [37.499254146438, 55.6520286204581], 'type': 'Point'}",РУДН,Обручевский район,"город Москва, улица Миклухо-Маклая, дом 6",Образование.Вузы.639894134,Образование,Вузы
Восточный административный округ,"{'coordinates': [37.8139731143603, 55.7295808663792], 'type': 'Point'}",НИБ,район Вешняки,"город Москва, улица Юности, дом 5",Образование.Вузы.639894135,Образование,Вузы
Западный административный округ,"{'coordinates': [37.4866059898958, 55.6759370047955], 'type': 'Point'}",АТиСО,район Проспект Вернадского,"город Москва, улица Лобачевского, дом 90",Образование.Вузы.639894136,Образование,Вузы
Северо-Восточный административный округ,"{'coordinates': [37.643486071137, 55.8336364848484], 'type': 'Point'}",МГПУ,район Ростокино,"город Москва, 2-й Сельскохозяйственный проезд, дом 4, корпус 1",Образование.Вузы.639894141,Образование,Вузы
Западный административный округ,"{'coordinates': [37.5494806498285, 55.7404892569655], 'type': 'Point'}",РГСАИ,район Дорогомилово,"город Москва, Резервный проезд, дом 12",Образование.Вузы.639894146,Образование,Вузы
Северный административный округ,"{'coordinates': [37.4836042804351, 55.8564985330834], 'type': 'Point'}",АХИ им.Попова,район Левобережный,"город Москва, Фестивальная улица, дом 2",Образование.Вузы.639894147,Образование,Вузы
Северо-Восточный административный округ,"{'coordinates': [37.60803486677, 55.787971937342], 'type': 'Point'}",МИИТ,район Марьина Роща,"город Москва, улица Образцова, дом 9, строение 9",Образование.Вузы.639894152,Образование,Вузы
Юго-Западный административный округ,"{'coordinates': [37.4815350016281, 55.6336747688664], 'type': 'Point'}",Академия акварели и изящных искусств,район Тёплый Стан,"город Москва, улица Академика Варги, дом 15",Образование.Вузы.639894153,Образование,Вузы
Западный административный округ,"{'coordinates': [37.5303113370703, 55.7402654380643], 'type': 'Point'}",МИП,район Дорогомилово,"город Москва, Кутузовский проспект, дом 34, строение 14",Образование.Вузы.639894156,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6223973180977, 55.7635470985367], 'type': 'Point'}",МАРХИ,Мещанский район,"город Москва, улица Рождественка, дом 11/4, корпус 1, строение 4",Образование.Вузы.639894157,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6306753910169, 55.771974766783], 'type': 'Point'}",МГППУ,Мещанский район,"город Москва, улица Сретенка, дом 29",Образование.Вузы.639894163,Образование,Вузы
Юго-Восточный административный округ,"{'coordinates': [37.8064608777331, 55.7007335768975], 'type': 'Point'}",МСЭИ,район Выхино-Жулебино,"город Москва, Ташкентская улица, дом 26, корпус 2, строение 1",Образование.Вузы.639894164,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6076585475991, 55.7575111648733], 'type': 'Point'}",МВШСЭН,Пресненский район,"город Москва, Газетный переулок, дом 3-5, строение 1",Образование.Вузы.639894166,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.5962389126001, 55.7779877650143], 'type': 'Point'}","РГГУ, Российский государственный гуманитарный университет, ФГБОУ ВО «РГГУ»",Тверской район,"город Москва, Миусская площадь, дом 6, строение 1",Образование.Вузы.639894167,Образование,Вузы
Северо-Восточный административный округ,"{'coordinates': [37.690042990664, 55.8564194331182], 'type': 'Point'}",МГСУ,Ярославский район,"город Москва, Ярославское шоссе, дом 26",Образование.Вузы.639894172,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6079791093454, 55.7831450287527], 'type': 'Point'}",АНО ВО «РПУ св. Иоанна Богослова»,Тверской район,"город Москва, переулок Чернышевского, дом 11А, строение 1",Образование.Вузы.639894175,Образование,Вузы
Юго-Западный административный округ,"{'coordinates': [37.5619677942418, 55.6633024465052], 'type': 'Point'}",РГУП,район Черёмушки,"город Москва, Новочерёмушкинская улица, дом 69",Образование.Вузы.639894177,Образование,Вузы
