AdmArea,geoData,Name,District,Address,ID,Category,SubCategory
Центральный административный округ,"{'coordinates': [37.6476065605567, 55.7618498827741], 'type': 'Point'}",ФГБНУ «ИУО РАО»,Басманный район,"город Москва, улица Жуковского, дом 16",Образование.Вузы.1078706105,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.5640122700397, 55.7301544024801], 'type': 'Point'}",РНЦХ Петровского,район Хамовники,"город Москва, Абрикосовский переулок, дом 2",Образование.Вузы.1103065010,Образование,Вузы
Северный административный округ,"{'coordinates': [37.5364210611397, 55.872306832982304], 'type': 'Point'}",Микрохирургия глаза,Бескудниковский район,"город Москва, Бескудниковский бульвар, дом 59А",Образование.Вузы.1121876606,Образование,Вузы
Северный административный округ,"{'coordinates': [37.5306549909483, 55.8200792294422], 'type': 'Point'}",ФГБУ «НМИЦ ТО им. Н.Н. Приорова» Минздрава России,район Коптево,"город Москва, улица Приорова, дом 10",Образование.Вузы.1139083930,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.622756360793, 55.7232027921288], 'type': 'Point'}",ФГАНУ «ВНИМИ»,район Замоскворечье,"город Москва, Люсиновская улица, дом 35, корпус 7",Образование.Вузы.1146089835,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6331919647151, 55.7387932865115], 'type': 'Point'}",ГБУ «НИИОЗММ ДЗМ»,район Замоскворечье,"город Москва, Большая Татарская улица, дом 30",Образование.Вузы.1146089943,Образование,Вузы
,"{'coordinates': [37.4796073910091, 55.783826979765], 'type': 'Point'}",ГБОУ ДО ДТДМ «Хорошево»,,"123154, ГОРОД МОСКВА, УЛИЦА МАРШАЛА ТУХАЧЕВСКОГО, 20, 1",Образование.Образовательные учреждения.658727748,Образование,Образовательные учреждения
,"{'coordinates': [37.6765457430991, 55.739660485406], 'type': 'Point'}",ГБУ «Лаборатория путешествий»,,"109052, ГОРОД МОСКВА, УЛИЦА НИЖЕГОРОДСКАЯ, ДОМ 3",Образование.Образовательные учреждения.658727903,Образование,Образовательные учреждения
,"{'coordinates': [37.7158448802973, 55.6218414311495], 'type': 'Point'}",ГБПОУ колледж «Царицыно»,,"115569, ГОРОД МОСКВА, ПРОЕЗД ШИПИЛОВСКИЙ, 37, 1",Образование.Образовательные учреждения.658727904,Образование,Образовательные учреждения
,"{'coordinates': [37.7330417729531, 55.802626564022], 'type': 'Point'}",ГБОУДО «ДТДиМ «Преображенский»,,"107553, ГОРОД МОСКВА, УЛИЦА ЧЕРКИЗОВСКАЯ Б., 15",Образование.Образовательные учреждения.658727905,Образование,Образовательные учреждения
,"{'coordinates': [37.6678226722998, 55.6049547310735], 'type': 'Point'}",ГБПОУ ФК № 35,,"115404, ГОРОД МОСКВА, УЛИЦА ЛИПЕЦКАЯ, 2, 13",Образование.Образовательные учреждения.658727972,Образование,Образовательные учреждения
,"{'coordinates': [37.6295409369101, 55.7360651137705], 'type': 'Point'}",ГБУ МГДУ,,"117525, ГОРОД МОСКВА, УЛИЦА ДНЕПРОПЕТРОВСКАЯ, ДОМ 25, КОРПУС 1",Образование.Образовательные учреждения.658728021,Образование,Образовательные учреждения
,"{'coordinates': [37.6649355203303, 55.6082879592715], 'type': 'Point'}",ГБПОУ Пищевой колледж № 33,,"115404, ГОРОД МОСКВА, УЛИЦА 6-Я РАДИАЛЬНАЯ, 10",Образование.Образовательные учреждения.658728111,Образование,Образовательные учреждения
,"{'coordinates': [37.6544191395349, 55.855246872032], 'type': 'Point'}",ГБОУДО ЦДТ «Свиблово»,,"129343, ГОРОД МОСКВА, УЛИЦА АМУНДСЕНА, 14, 1",Образование.Образовательные учреждения.658728165,Образование,Образовательные учреждения
,"{'coordinates': [37.6847983586317, 55.74238184652], 'type': 'Point'}",ГБОУДО «ДДТ на Таганке»,,"109544, ГОРОД МОСКВА, УЛИЦА РАБОЧАЯ, ДОМ 30СТР1",Образование.Образовательные учреждения.658728244,Образование,Образовательные учреждения
,"{'coordinates': [37.7891022132982, 55.8062322879675], 'type': 'Point'}",ГБОУДО им. А.В. Косарева,,"105215, ГОРОД МОСКВА, УЛИЦА 5-Я ПАРКОВАЯ, 60",Образование.Образовательные учреждения.658728250,Образование,Образовательные учреждения
,"{'coordinates': [37.4061300114636, 55.8050446211945], 'type': 'Point'}",ГБОУ ДО ЦДТ «Строгино»,,"123592, ГОРОД МОСКВА, БУЛЬВАР СТРОГИНСКИЙ, 7, 3",Образование.Образовательные учреждения.658728315,Образование,Образовательные учреждения
,"{'coordinates': [37.708193850466, 55.620014623269], 'type': 'Point'}",ГБПОУ Юридический колледж,,"115569, ГОРОД МОСКВА, УЛИЦА ШИПИЛОВСКАЯ, 17, 1СТР.1",Образование.Образовательные учреждения.658728324,Образование,Образовательные учреждения
,"{'coordinates': [37.1894395195672, 55.9878844845555], 'type': 'Point'}",ГБОУДО ЗДТДиМ,,"124575, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, ПЛОЩАДЬ КОЛУМБА, ДОМ 1",Образование.Образовательные учреждения.658728335,Образование,Образовательные учреждения
,"{'coordinates': [37.5805481043348, 55.678965880678], 'type': 'Point'}",ГБОУ ДО ДТДиМ «Севастополец»,,"117218, ГОРОД МОСКВА, УЛИЦА БОЛЬШАЯ ЧЕРЁМУШКИНСКАЯ, 38",Образование.Образовательные учреждения.658728348,Образование,Образовательные учреждения
,"{'coordinates': [37.6090525788636, 55.588762136525], 'type': 'Point'}",ГБОУ ДО ДЮЦ «Виктория»,,"117405, ГОРОД МОСКВА, УЛИЦА ГАЗОПРОВОД, 4",Образование.Образовательные учреждения.886322372,Образование,Образовательные учреждения
,"{'coordinates': [37.5714732937515, 55.7576145655775], 'type': 'Point'}",ГБОУ ДО ЦРТДЮ «Пресня»,,"123242, ГОРОД МОСКВА, УЛИЦА ДРУЖИННИКОВСКАЯ, 9, СТР.2",Образование.Образовательные учреждения.904217886,Образование,Образовательные учреждения
,"{'coordinates': [37.5004519489548, 55.778103017203], 'type': 'Point'}",ГАУДО «Домисолька»,,"123298, ГОРОД МОСКВА, УЛИЦА МАРШАЛА БИРЮЗОВА, ДОМ 5",Образование.Образовательные учреждения.908561038,Образование,Образовательные учреждения
,"{'coordinates': [37.576293734056, 55.7173482670182], 'type': 'Point'}",ГАОУ ДПО ЦПМ,,"119270, ГОРОД МОСКВА, УЛИЦА ХАМОВНИЧЕСКИЙ ВАЛ, ДОМ 6",Образование.Образовательные учреждения.911869478,Образование,Образовательные учреждения
,"{'coordinates': [37.6357767779156, 55.735192400488], 'type': 'Point'}",ГБОУДО ЦДТ Замоскворечье,,"115054, ГОРОД МОСКВА, УЛИЦА БАХРУШИНА, 17, 1",Образование.Образовательные учреждения.911869481,Образование,Образовательные учреждения
,"{'coordinates': [37.5991333052055, 55.599266559475], 'type': 'Point'}",ГБПОУ Московский техникум креативных индустрий им. Л.Б. Красина,,"115280, ГОРОД МОСКВА, УЛИЦА ВЕЛОЗАВОДСКАЯ, ДОМ 8",Образование.Образовательные учреждения.1016692074,Образование,Образовательные учреждения
,"{'coordinates': [37.5922826062296, 55.7770678140325], 'type': 'Point'}",ГБОУ ДО ДТДМ на Миусах,,"125047, ГОРОД МОСКВА, УЛИЦА АЛЕКСАНДРА НЕВСКОГО, 4",Образование.Образовательные учреждения.1035794175,Образование,Образовательные учреждения
,"{'coordinates': [37.6072776114332, 55.719179060151], 'type': 'Point'}",ГБОУ ДПО МЦПС,,"107370, ГОРОД МОСКВА, ШОССЕ ОТКРЫТОЕ, ДОМ 6, КОРПУС 12",Образование.Образовательные учреждения.1047409041,Образование,Образовательные учреждения
,"{'coordinates': [37.5291889188981, 55.839754460431], 'type': 'Point'}",ГБОУ ДО ЦТР и МЭО «Радость»,,"125008, ГОРОД МОСКВА, УЛИЦА МИХАЛКОВСКАЯ, 22",Образование.Образовательные учреждения.1047409062,Образование,Образовательные учреждения
,"{'coordinates': [37.6652236593355, 55.7432214993645], 'type': 'Point'}",ГБОУ ГМЦ ДОНМ,,"109044, ГОРОД МОСКВА, УЛИЦА ВОРОНЦОВСКАЯ, 6А, СТР.1",Образование.Образовательные учреждения.1047409068,Образование,Образовательные учреждения
,"{'coordinates': [37.6424773752507, 55.765238146671], 'type': 'Point'}",ГБОУ ДО ДТДиМ «На Стопани»,,"101000, ГОРОД МОСКВА, ПЕРЕУЛОК ОГОРОДНАЯ СЛОБОДА, 6, 1",Образование.Образовательные учреждения.1047409081,Образование,Образовательные учреждения
,"{'coordinates': [37.7989790586712, 55.7478148000345], 'type': 'Point'}",ГАПОУ ТК № 24,,"105484, ГОРОД МОСКВА, УЛИЦА 16-Я ПАРКОВАЯ, ДОМ 20",Образование.Образовательные учреждения.1056398232,Образование,Образовательные учреждения
,"{'coordinates': [37.7275241307997, 55.7667002731135], 'type': 'Point'}",ГБПОУ КАИТ № 20,,"105037, ГОРОД МОСКВА, УЛИЦА 1-Я ПАРКОВАЯ, ДОМ 12",Образование.Образовательные учреждения.1056398247,Образование,Образовательные учреждения
,"{'coordinates': [37.6448178221017, 55.6665944362045], 'type': 'Point'}",ГБПОУ МГКЭИТ,,"115446, ГОРОД МОСКВА, УЛИЦА АКАДЕМИКА МИЛЛИОНЩИКОВА, 20",Образование.Образовательные учреждения.1056398389,Образование,Образовательные учреждения
,"{'coordinates': [37.4230987799224, 55.8302566393395], 'type': 'Point'}",ГБПОУ ПТ № 47,,"125371, ГОРОД МОСКВА, ШОССЕ ВОЛОКОЛАМСКОЕ, 112, 3",Образование.Образовательные учреждения.1056398448,Образование,Образовательные учреждения
,"{'coordinates': [37.5141991554943, 55.8653503729985], 'type': 'Point'}",ГБПОУ КАС № 7,,"125315, ГОРОД МОСКВА, УЛИЦА УСИЕВИЧА, 31",Образование.Образовательные учреждения.1056398466,Образование,Образовательные учреждения
,"{'coordinates': [37.1927099471379, 55.996243563725], 'type': 'Point'}",ГБПОУ ПК № 50 имени дважды Героя Социалистического Труда Н.А. Злобина,,"124460, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, ПРОСПЕКТ ГЕНЕРАЛА АЛЕКСЕЕВА, ДОМ 38",Образование.Образовательные учреждения.1056398502,Образование,Образовательные учреждения
,"{'coordinates': [37.6770445403048, 55.8531124867895], 'type': 'Point'}",ГБПОУ МИПК им. И. Федорова,,"129337, ГОРОД МОСКВА, ШОССЕ ЯРОСЛАВСКОЕ, ДОМ 5, СТРОЕНИЕ 2",Образование.Образовательные учреждения.1056398510,Образование,Образовательные учреждения
,"{'coordinates': [37.5665485329097, 55.770598787357], 'type': 'Point'}",ГБПОУ КБТ,,"123557, ГОРОД МОСКВА, УЛИЦА ПРЕСНЕНСКИЙ ВАЛ, 15, СТР.1",Образование.Образовательные учреждения.1056398519,Образование,Образовательные учреждения
,"{'coordinates': [37.8159826468582, 55.7897744064104], 'type': 'Point'}",ГБПОУ ЭТК № 22,,"105203, ГОРОД МОСКВА, УЛИЦА 14-Я ПАРКОВАЯ, ДОМ 4Б",Образование.Образовательные учреждения.1056398528,Образование,Образовательные учреждения
,"{'coordinates': [37.6918974817453, 55.7815631972069], 'type': 'Point'}",ГБПОУ МАДК им. А.А. Николаева,,"105082, ГОРОД МОСКВА, УЛИЦА БАКУНИНСКАЯ, ДОМ 81",Образование.Образовательные учреждения.1056398719,Образование,Образовательные учреждения
,"{'coordinates': [37.6095631337462, 55.7173017711355], 'type': 'Point'}",ГБПОУ КСУ № 32,,"119071, ГОРОД МОСКВА, УЛИЦА ОРДЖОНИКИДЗЕ, 15",Образование.Образовательные учреждения.1056398720,Образование,Образовательные учреждения
,"{'coordinates': [37.520325559775, 55.8448160803385], 'type': 'Point'}",ГАПОУ КП № 11,,"125438, ГОРОД МОСКВА, УЛИЦА ОНЕЖСКАЯ, ДОМ 3",Образование.Образовательные учреждения.1056398741,Образование,Образовательные учреждения
,"{'coordinates': [37.3947362865103, 55.7932907559625], 'type': 'Point'}",ГБПОУ СКИСиГ,,"123458, ГОРОД МОСКВА, УЛИЦА ТВАРДОВСКОГО, ДОМ 10, КОРПУС 1",Образование.Образовательные учреждения.1056398751,Образование,Образовательные учреждения
,"{'coordinates': [37.5921295377381, 55.704364211236], 'type': 'Point'}",ГБПОУ МТК,,"115114, ГОРОД МОСКВА, НАБЕРЕЖНАЯ ДЕРБЕНЕВСКАЯ, ДОМ 3",Образование.Образовательные учреждения.1060211664,Образование,Образовательные учреждения
,"{'coordinates': [37.5529022422421, 55.8599438172835], 'type': 'Point'}",ГБПОУ КСУ № 10,,"127434, ГОРОД МОСКВА, ШОССЕ ДМИТРОВСКОЕ, ДОМ 11А",Образование.Образовательные учреждения.1060211667,Образование,Образовательные учреждения
,"{'coordinates': [37.5340225258348, 55.8122771813835], 'type': 'Point'}",ГБПОУ КАТ № 9,,"127591, ГОРОД МОСКВА, ПРОЕЗД КЕРАМИЧЕСКИЙ, 59",Образование.Образовательные учреждения.1060211761,Образование,Образовательные учреждения
,"{'coordinates': [37.5987020985808, 55.880556845904], 'type': 'Point'}",ГБПОУ ПК им. П.А. Овчинникова,,"127549, ГОРОД МОСКВА, УЛИЦА БИБИРЕВСКАЯ, 6, 1",Образование.Образовательные учреждения.1068754558,Образование,Образовательные учреждения
,"{'coordinates': [37.6292936028841, 55.6802145772925], 'type': 'Point'}",ГБПОУ ТК № 34,,"115230, ГОРОД МОСКВА, УЛИЦА НАГАТИНСКАЯ, 4, КОРП. 1",Образование.Образовательные учреждения.1078929555,Образование,Образовательные учреждения
,"{'coordinates': [37.5684471299924, 55.796341651203], 'type': 'Point'}",ГАПОУ ПК № 8 им. И.Ф. Павлова,,"125284, ГОРОД МОСКВА, ПРОЕЗД 1-Й БОТКИНСКИЙ, 7А",Образование.Образовательные учреждения.1092464718,Образование,Образовательные учреждения
,"{'coordinates': [37.6804053706921, 55.8565551954155], 'type': 'Point'}",ГБПОУ КСТ,,"129337, ГОРОД МОСКВА, ПРОЕЗД ХИБИНСКИЙ, ДОМ 10",Образование.Образовательные учреждения.1103537769,Образование,Образовательные учреждения
,"{'coordinates': [37.6478693969332, 55.778833915719], 'type': 'Point'}",ГБПОУ КЖГТ,,"129090, ГОРОД МОСКВА, УЛИЦА КАЛАНЧЕВСКАЯ, ДОМ 26, СТРОЕНИЕ 1,2,3",Образование.Образовательные учреждения.1110960176,Образование,Образовательные учреждения
,"{'coordinates': [37.6809445768905, 55.743722211764], 'type': 'Point'}",ГБПОУ КС № 54,,"115172, ГОРОД МОСКВА, УЛИЦА БОЛЬШИЕ КАМЕНЩИКИ, 7",Образование.Образовательные учреждения.1121732316,Образование,Образовательные учреждения
,"{'coordinates': [37.5725054520134, 55.76049969061], 'type': 'Point'}",ГАОУ ДПО «Корпоративный университет»,,"127422, ГОРОД МОСКВА, УЛИЦА ТИМИРЯЗЕВСКАЯ, ДОМ 36",Образование.Образовательные учреждения.1137248095,Образование,Образовательные учреждения
,"{'coordinates': [37.6115289229495, 55.5988473830385], 'type': 'Point'}",ГБОУ школа № 924,,"117405, ГОРОД МОСКВА, УЛИЦА ГАЗОПРОВОД, ДОМ 5А",Образование.Образовательные учреждения.1139420767,Образование,Образовательные учреждения
,"{'coordinates': [37.5920141226003, 55.8278134403085], 'type': 'Point'}",ГБОУ школа № 1494,,"127276, ГОРОД МОСКВА, УЛИЦА МАРФИНСКАЯ Б., 1, 5",Образование.Образовательные учреждения.1139420768,Образование,Образовательные учреждения
,"{'coordinates': [37.4910630801931, 55.6614155784035], 'type': 'Point'}",ГБОУ школа № 875,,"119526, ГОРОД МОСКВА, ПРОСПЕКТ ВЕРНАДСКОГО, 101, 5",Образование.Образовательные учреждения.1139420769,Образование,Образовательные учреждения
,"{'coordinates': [37.5488373780634, 55.694420174795], 'type': 'Point'}",ГБПОУ «Воробьевы горы»,,"119334, ГОРОД МОСКВА, УЛИЦА КОСЫГИНА, 17",Образование.Образовательные учреждения.1139420770,Образование,Образовательные учреждения
,"{'coordinates': [37.3589551806447, 55.8523143495765], 'type': 'Point'}",ГБОУ школа № 1191,,"город Москва, Митинская улица, дом 48, корпус 2",Образование.Образовательные учреждения.1139420771,Образование,Образовательные учреждения
,"{'coordinates': [37.5739501400532, 55.7874909841915], 'type': 'Point'}",ГКОУ СКОШИ № 52,,"125124, ГОРОД МОСКВА, УЛИЦА РАСКОВОЙ, 20А, СТР.1",Образование.Образовательные учреждения.1139420772,Образование,Образовательные учреждения
,"{'coordinates': [37.7876422410835, 55.7134577977865], 'type': 'Point'}",ГБОУ школа № 2090,,"109377, ГОРОД МОСКВА, УЛИЦА 1-Я НОВОКУЗЬМИНСКАЯ, 21",Образование.Образовательные учреждения.1139420773,Образование,Образовательные учреждения
,"{'coordinates': [37.6713829999731, 55.7672902928985], 'type': 'Point'}",ГБОУ «Школа № 354 им. Д.М. Карбышева»,,"105005, ГОРОД МОСКВА, ПЕРЕУЛОК ЛЕФОРТОВСКИЙ, ДОМ 10",Образование.Образовательные учреждения.1139420775,Образование,Образовательные учреждения
,"{'coordinates': [37.3956408318886, 55.894383212368], 'type': 'Point'}",ГБОУ школа № 2005,,"125466, г. Москва, ул. Родионовская, д. 6/7",Образование.Образовательные учреждения.1139420776,Образование,Образовательные учреждения
,"{'coordinates': [37.8304783492447, 55.764144882015], 'type': 'Point'}",ГБОУ школа № 922,,"111555, ГОРОД МОСКВА, УЛИЦА МОЛОСТОВЫХ, 6А",Образование.Образовательные учреждения.1139420777,Образование,Образовательные учреждения
,"{'coordinates': [37.5616835999855, 55.8106533955285], 'type': 'Point'}",ГБДОУ детский сад № 766,,"127206, ГОРОД МОСКВА, ПРОЕЗД АСТРАДАМСКИЙ, ДОМ 4, КОРПУС 1",Образование.Образовательные учреждения.1139420778,Образование,Образовательные учреждения
,"{'coordinates': [37.7934752680871, 56.0035061750405], 'type': 'Point'}",ГБОУ «Школа № 448»,,"105173, ГОРОД МОСКВА, ПОСЕЛОК АКУЛОВО, ДОМ 43А",Образование.Образовательные учреждения.1139420779,Образование,Образовательные учреждения
,"{'coordinates': [37.7324739355551, 55.767921161122], 'type': 'Point'}",ГБОУ школа № 429,,"105118, ГОРОД МОСКВА, ПРОСПЕКТ БУДЁННОГО, 15А",Образование.Образовательные учреждения.1139420780,Образование,Образовательные учреждения
,"{'coordinates': [37.5615061119488, 55.8785954301415], 'type': 'Point'}",ГБОУ школа № 1296,,"127591, ГОРОД МОСКВА, ПРОЕЗД КЕРАМИЧЕСКИЙ, ДОМ 55, КОРПУС 3",Образование.Образовательные учреждения.1139420781,Образование,Образовательные учреждения
,"{'coordinates': [37.6628618951455, 55.707654153094], 'type': 'Point'}",ГБОУ школа № 1272,,"115280, ГОРОД МОСКВА, ПРОЕЗД 1-Й КОЖУХОВСКИЙ, 17",Образование.Образовательные учреждения.1139420782,Образование,Образовательные учреждения
,"{'coordinates': [37.5538480257767, 55.54485568917], 'type': 'Point'}",ГБОУ школа № 1065,,"117624, ГОРОД МОСКВА, УЛИЦА СКОБЕЛЕВСКАЯ, 28",Образование.Образовательные учреждения.1139420783,Образование,Образовательные учреждения
,"{'coordinates': [37.6209722427056, 55.602552757583], 'type': 'Point'}",ГБОУ школа № 1526 на Покровской,,"117535, ГОРОД МОСКВА, УЛИЦА ДОРОЖНАЯ, 20А",Образование.Образовательные учреждения.1139420784,Образование,Образовательные учреждения
,"{'coordinates': [37.7139084044557, 55.6511616708895], 'type': 'Point'}",ГБОУ школа «Марьино»,,"109651, ГОРОД МОСКВА, ПРОЕЗД БАТАЙСКИЙ, 21",Образование.Образовательные учреждения.1139420785,Образование,Образовательные учреждения
,"{'coordinates': [37.1552591268587, 55.9724740901075], 'type': 'Point'}",ГБОУ школа № 1150,,"124365, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, КОРПУС 1609",Образование.Образовательные учреждения.1139420786,Образование,Образовательные учреждения
,"{'coordinates': [37.761792359156, 55.8235120148445], 'type': 'Point'}",ГБОУ школа № 1246,,"107143, ГОРОД МОСКВА, ШОССЕ ОТКРЫТОЕ, ДОМ 29А",Образование.Образовательные учреждения.1139420787,Образование,Образовательные учреждения
,"{'coordinates': [37.6706621914985, 55.8734065811725], 'type': 'Point'}",ГБОУ школа № 1095,,"129281, ГОРОД МОСКВА, УЛИЦА ЕНИСЕЙСКАЯ, 32, 3",Образование.Образовательные учреждения.1139420788,Образование,Образовательные учреждения
,"{'coordinates': [37.650976519647, 55.66822623342], 'type': 'Point'}",ГБОУ школа № 507,,"115446, ГОРОД МОСКВА, УЛИЦА САДОВНИКИ, 12",Образование.Образовательные учреждения.1139420789,Образование,Образовательные учреждения
,"{'coordinates': [37.7329527300849, 55.61768645178], 'type': 'Point'}",ГБОУ школа № 1569 «Созвездие»,,"115573, ГОРОД МОСКВА, УЛИЦА МУСЫ ДЖАЛИЛЯ, 36, 2",Образование.Образовательные учреждения.1139420790,Образование,Образовательные учреждения
,"{'coordinates': [37.5217195041503, 55.680074849126], 'type': 'Point'}",ГБОУ школа № 7,,"119331, ГОРОД МОСКВА, УЛИЦА КРУПСКОЙ, ДОМ 17",Образование.Образовательные учреждения.1139420791,Образование,Образовательные учреждения
,"{'coordinates': [37.6520861686216, 55.853648186094], 'type': 'Point'}",ГКОУ СКОШИ № 102,,"129343, ГОРОД МОСКВА, ПРОЕЗД НАНСЕНА, 14",Образование.Образовательные учреждения.1139420792,Образование,Образовательные учреждения
,"{'coordinates': [37.7081352366336, 55.620110133137], 'type': 'Point'}",ГБПОУ КДПИ им. Карла Фаберже,,"115407, ГОРОД МОСКВА, УЛИЦА ЯКОРНАЯ, 6, 1",Образование.Образовательные учреждения.1139420793,Образование,Образовательные учреждения
,"{'coordinates': [37.821935915745, 55.7782743793515], 'type': 'Point'}",ГБОУДО ДТДИМ «Восточный»,,"111123, ГОРОД МОСКВА, УЛИЦА ВЛАДИМИРСКАЯ 1-Я, 20",Образование.Образовательные учреждения.1139420794,Образование,Образовательные учреждения
,"{'coordinates': [37.6322208918565, 55.7166448769625], 'type': 'Point'}",ГКОУ СКОШИ № 79,,"115093, ГОРОД МОСКВА, ПЕРЕУЛОК 1-Й ПАВЛОВСКИЙ, 7",Образование.Образовательные учреждения.1139420795,Образование,Образовательные учреждения
,"{'coordinates': [37.5419471785626, 55.875503744407], 'type': 'Point'}",ГБОУ «Школа «Бескудниково»,,"127247, ГОРОД МОСКВА, БУЛЬВАР БЕСКУДНИКОВСКИЙ, ДОМ 50А",Образование.Образовательные учреждения.1139420796,Образование,Образовательные учреждения
,"{'coordinates': [37.6571014443916, 55.890406045345], 'type': 'Point'}",ГБОУ школа № 1506,,"127282, ГОРОД МОСКВА, УЛИЦА ШИРОКАЯ, 1А",Образование.Образовательные учреждения.1139420797,Образование,Образовательные учреждения
,"{'coordinates': [37.7782399142397, 55.793086525069], 'type': 'Point'}",ГБОУ школа № 1290,,"105043, ГОРОД МОСКВА, УЛИЦА ПЕРВОМАЙСКАЯ, 59, СТР.1",Образование.Образовательные учреждения.1139420798,Образование,Образовательные учреждения
,"{'coordinates': [37.694187982275, 55.6406320809885], 'type': 'Point'}",ГБОУ школа № 1579,,"115409, ГОРОД МОСКВА, ПРОСПЕКТ ПРОЛЕТАРСКИЙ, ДОМ 7, КОРПУС 3",Образование.Образовательные учреждения.1139420799,Образование,Образовательные учреждения
,"{'coordinates': [37.6344843092771, 55.7349041527045], 'type': 'Point'}",ГБОУ школа № 1259,,"115054, ГОРОД МОСКВА, ПЕРЕУЛОК 5-Й МОНЕТЧИКОВСКИЙ, 7",Образование.Образовательные учреждения.1139420800,Образование,Образовательные учреждения
,"{'coordinates': [37.4789080916306, 55.737054979728], 'type': 'Point'}",ГБОУ школа № 2101,,"121433, ГОРОД МОСКВА, УЛИЦА ФИЛЁВСКАЯ М., 26, 2",Образование.Образовательные учреждения.1139420801,Образование,Образовательные учреждения
,"{'coordinates': [37.4589157149973, 55.7803931712485], 'type': 'Point'}",ГБОУ школа № 1517,,"123103, ГОРОД МОСКВА, УЛИЦА ЖИВОПИСНАЯ, 11, 1",Образование.Образовательные учреждения.1139420802,Образование,Образовательные учреждения
,"{'coordinates': [37.4964399546966, 55.810134332258], 'type': 'Point'}",ГБОУ школа № 1252 имени Сервантеса,,"125080, ГОРОД МОСКВА, УЛИЦА ДУБОСЕКОВСКАЯ, ДОМ 3",Образование.Образовательные учреждения.1139420803,Образование,Образовательные учреждения
,"{'coordinates': [37.6247432663814, 55.8245473153394], 'type': 'Point'}",ГБОУ школа № 1415 «Останкино»,,"129515, ГОРОД МОСКВА, УЛИЦА 1-Я ОСТАНКИНСКАЯ, 29",Образование.Образовательные учреждения.1139420804,Образование,Образовательные учреждения
,"{'coordinates': [37.3823753856745, 55.839297019955], 'type': 'Point'}",ГБОУ школа № 1538,,"125464, ГОРОД МОСКВА, ПРОЕЗД НОВОТУШИНСКИЙ, ДОМ 8, КОРПУС 2",Образование.Образовательные учреждения.1139420805,Образование,Образовательные учреждения
,"{'coordinates': [37.6647764649564, 55.743917785256], 'type': 'Point'}",ГБОУ «Школа № 1270 «Вектор»,,"109004, ГОРОД МОСКВА, ПЕРЕУЛОК ТОВАРИЩЕСКИЙ, 21",Образование.Образовательные учреждения.1139420806,Образование,Образовательные учреждения
,"{'coordinates': [37.6427474438364, 55.8751723465755], 'type': 'Point'}",ГБОУ школа № 1568,,"127221, ГОРОД МОСКВА, ПРОЕЗД ШОКАЛЬСКОГО, 7, 2",Образование.Образовательные учреждения.1139420807,Образование,Образовательные учреждения
,"{'coordinates': [37.6175328088855, 55.7338171731815], 'type': 'Point'}",ГБОУ школа № 1799,,"115035, ГОРОД МОСКВА, ПЕРЕУЛОК 1-Й КАДАШЁВСКИЙ, 3, СТР.1",Образование.Образовательные учреждения.1139420808,Образование,Образовательные учреждения
,"{'coordinates': [37.7024293991346, 55.6235702947055], 'type': 'Point'}",ГАОУ школа № 548,,"115582, ГОРОД МОСКВА, УЛИЦА ДОМОДЕДОВСКАЯ, ДОМ 35, КОРПУС 2",Образование.Образовательные учреждения.1139420809,Образование,Образовательные учреждения
,"{'coordinates': [37.5885844327588, 55.6565841502735], 'type': 'Point'}",ГБОУ школа № 2042,,"117303, ГОРОД МОСКВА, УЛИЦА ОДЕССКАЯ, 16, 2",Образование.Образовательные учреждения.1139420810,Образование,Образовательные учреждения
,"{'coordinates': [37.3837895249777, 55.9008697707885], 'type': 'Point'}",ГБОУ школа № 1298 «Профиль Куркино»,,"125466, ГОРОД МОСКВА, УЛИЦА ЮРОВСКАЯ, ДОМ 99",Образование.Образовательные учреждения.1139420811,Образование,Образовательные учреждения
,"{'coordinates': [37.1831350340282, 55.31277986398], 'type': 'Point'}",ГБОУ школа № 2073,,"108830, ГОРОД МОСКВА, ПОСЕЛЕНИЕ ВОРОНОВСКОЕ, ПОСЕЛОК ЛМС, МИКРОРАЙОН ЦЕНТРАЛЬНЫЙ, ДОМ 34, СТРОЕНИЕ 3",Образование.Образовательные учреждения.1139420812,Образование,Образовательные учреждения
,"{'coordinates': [37.5543541708298, 55.8749481024165], 'type': 'Point'}",ГБОУ школа имени Е.Н. Чернышёва,,"127247, ГОРОД МОСКВА, ПРОЕЗД БЕСКУДНИКОВСКИЙ, ДОМ 4Б",Образование.Образовательные учреждения.1139420813,Образование,Образовательные учреждения
,"{'coordinates': [37.4151820141598, 55.8524971783665], 'type': 'Point'}",ГБОУ школа № 827,,"125373, г. Москва, ул. Героев Панфиловцев, д. 35, корп. 2",Образование.Образовательные учреждения.1139420814,Образование,Образовательные учреждения
,"{'coordinates': [37.8821382547868, 55.7112104785268], 'type': 'Point'}",ГБОУ школа № 2036,,"111675, ГОРОД МОСКВА, УЛИЦА ТАТЬЯНЫ МАКАРОВОЙ, ДОМ 2",Образование.Образовательные учреждения.1139420815,Образование,Образовательные учреждения
